Monero 'Wolfram Warptangent' (v0.10.0.0-34fcfcd)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/foo.log
2016-Oct-27 05:45:06.260806 Loading wallet...
2016-Oct-27 05:45:06.294075 Loaded wallet keys file, with public address: 48aPXdzu2Qt1KVVuPUunjeVTm6zf6Vg3kf38VhSCunCzQjWBzH3rpJjSwDgnE8ocJWYGeEqhEoBWqeoVwbyYs3se6cGdjTx
2016-Oct-27 05:45:06.409713 Trying to decrypt cache data
2016-Oct-27 05:45:07.848549 Block is already in blockchain: 0f65eb9f364716c55251f16afa49b1926102bdf22f45fa7de9b4e11dbd6a883d
2016-Oct-27 05:45:08.294992 Processed block: <d7b7f05ed2528efddc5b14bb7b42ffea160b810c52e786982472ba996e0479d9>, height 1166391, 0(0/0)ms
2016-Oct-27 05:45:08.296206 Processed block: <229cffc443751e11c50f2cb30f654191983f99acadd0ab7e206ad1758a047363>, height 1166392, 1(0/1)ms
2016-Oct-27 05:45:08.296598 Processed block: <68bdeafca23ce555a3b03072ce2eb5c018b490b9c49f5ce53976fa956d34146e>, height 1166393, 0(0/0)ms
2016-Oct-27 05:45:08.296990 Processed block: <0c0bb6ebf3ebb57d35a2097698d895f061ac905402973760e48799a47df1e760>, height 1166394, 0(0/0)ms
2016-Oct-27 05:45:08.301059 Processed block: <81faf9b00fb5614d39054a0408e1f7f959c2c98e66c92e7fd94e9148bf0a6bad>, height 1166395, 4(0/4)ms
2016-Oct-27 05:45:08.303447 Processed block: <d42c078c164b950fbb110af348b96c8ec27442ac632c4c2662f19dbdeb676327>, height 1166396, 2(0/2)ms
2016-Oct-27 05:45:08.308723 Processed block: <5aec1309c4da78cbdcb8d4974405bf7094ecbcec3ce262caae6127faf9a3d8ab>, height 1166397, 6(1/5)ms
2016-Oct-27 05:45:08.309147 Processed block: <975b9f897f502a828415a31bb87eb06a611a057c14304791ea66ab42f51c3024>, height 1166398, 0(0/0)ms
2016-Oct-27 05:45:08.311200 Processed block: <c0d2f30675a76dbf287c50d8925a54d602de91eeab9629fe7326fc1af6bf3680>, height 1166399, 2(1/1)ms
2016-Oct-27 05:45:08.311606 Processed block: <21b3cab9d14f39272035d9e09fbebbd1f143277a0f2f7355b3b82640ed9a341d>, height 1166400, 1(1/0)ms
2016-Oct-27 05:45:08.312076 Processed block: <b61930196347eede795eec1b9a7901ce8ce44071ce01f796381749402d6b9b2d>, height 1166401, 0(0/0)ms
2016-Oct-27 05:45:08.323075 Processed block: <ec23e2e6e17a1be10e6bf7ded36b6847456dd068abe475b1bb817694c7cb7c8e>, height 1166402, 11(0/11)ms
2016-Oct-27 05:45:08.323647 Processed block: <711d25d446e4135808c6e7b076312ecdb7cc8a5ed6066a15c9e76efe95fcdf82>, height 1166403, 1(1/0)ms
2016-Oct-27 05:45:08.329613 Processed block: <3059bb8563866ef7c8a1c4704f808d7c5a767bdf72b66773b689367880cb9c56>, height 1166404, 6(0/6)ms
2016-Oct-27 05:45:08.330020 Processed block: <8e5e5a1ab394fe9a5b5232bd1f29c1d3563a951b0a445d3e01310f60a313846d>, height 1166405, 0(0/0)ms
2016-Oct-27 05:45:08.346079 Processed block: <9566059d96b43e0c9875d9be7625859e325b12e2f2415962c20ffb1b5b8f688c>, height 1166406, 16(0/16)ms
2016-Oct-27 05:45:08.348539 Processed block: <3b54f93494df613bea6759980adff85fe6a25ab18c1963cba837693f0fd8bb4c>, height 1166407, 2(0/2)ms
2016-Oct-27 05:45:08.348805 Processed block: <18b8f2d7292d2246d6b02ad41e3a63180fb751822c1702bcfec8c85abcf5ecfc>, height 1166408, 1(1/0)ms
2016-Oct-27 05:45:08.349056 Processed block: <d5e32f2b1f64c4f4ea2a7497af76006996cd31588fe0f3cb339babdb3f57698b>, height 1166409, 0(0/0)ms
2016-Oct-27 05:45:08.349307 Processed block: <b94b46da3e697d1e8e6d95b7ac9edd5f3edbbb5b484d3957d6f464fb7a85f2b5>, height 1166410, 0(0/0)ms
2016-Oct-27 05:45:08.369409 Processed block: <6cc21410c3306a9ef12d0706f9b686f03948d66c3c543c3c7194f0d4e2a0fc5c>, height 1166411, 20(1/19)ms
2016-Oct-27 05:45:08.369710 Processed block: <d4d53789ee119f7929ef62143f3feed586ea994ba22d96b8a8476725a7619899>, height 1166412, 1(1/0)ms
2016-Oct-27 05:45:08.373262 Processed block: <0c22e5fcd5c035f39ab092cbe51c10e27bd3aa94b11873ca4f55b7f523cc25e9>, height 1166413, 3(0/3)ms
2016-Oct-27 05:45:08.373533 Processed block: <88537d61ecc7fd8904683c30cb3300b309b6229ef675339f8c41ede25f0e7f2f>, height 1166414, 0(0/0)ms
2016-Oct-27 05:45:08.378900 Processed block: <ce02043429a7525262b5d2bbd6131bb10a20e64f0433679edd84e2387ebb7f65>, height 1166415, 5(0/5)ms
2016-Oct-27 05:45:08.380074 Processed block: <54254d1a79e1a403df5a080fe81633976b6037f67da56872233efddc16596fc1>, height 1166416, 1(0/1)ms
2016-Oct-27 05:45:08.381589 Processed block: <86fa439764d0e29a101d5ee5c3bb1b8fbb8af1b401205a3e2c3a6e88c3234cf1>, height 1166417, 1(0/1)ms
2016-Oct-27 05:45:08.381877 Processed block: <7ca6ef95ebeba9932fa9c6cd7e80b38702dcbc50bb13cb8337afd83a4c626e85>, height 1166418, 0(0/0)ms
