Monero 'Wolfram Warptangent' (v0.10.0.0-release)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/bar.log
2016-Oct-05 22:52:43.651675 Skipped block by height: 304000
2016-Oct-05 22:52:43.651736 Skipped block by height: 305000
2016-Oct-05 22:52:43.651790 Skipped block by height: 306000
2016-Oct-05 22:52:43.651843 Skipped block by height: 307000
2016-Oct-05 22:52:43.651897 Skipped block by height: 308000
2016-Oct-05 22:52:43.651950 Skipped block by height: 309000
2016-Oct-05 22:52:43.974415 Skipped block by height: 310000
2016-Oct-05 22:52:43.974699 Skipped block by height: 311000
2016-Oct-05 22:52:43.974765 Skipped block by height: 312000
2016-Oct-05 22:52:43.975122 Skipped block by height: 313000
2016-Oct-05 22:52:43.975190 Skipped block by height: 314000
2016-Oct-05 22:52:43.975250 Skipped block by height: 315000
2016-Oct-05 22:52:43.975309 Skipped block by height: 316000
2016-Oct-05 22:52:43.975372 Skipped block by height: 317000
2016-Oct-05 22:52:43.975432 Skipped block by height: 318000
2016-Oct-05 22:52:43.975493 Skipped block by height: 319000
2016-Oct-05 22:52:44.357592 Skipped block by height: 320000
2016-Oct-05 22:52:44.357849 Skipped block by height: 321000
2016-Oct-05 22:52:44.357910 Skipped block by height: 322000
2016-Oct-05 22:52:44.357966 Skipped block by height: 323000
2016-Oct-05 22:52:44.358024 Skipped block by height: 324000
2016-Oct-05 22:52:44.358080 Skipped block by height: 325000
2016-Oct-05 22:52:44.358137 Skipped block by height: 326000
2016-Oct-05 22:52:44.358195 Skipped block by height: 327000
2016-Oct-05 22:52:44.358252 Skipped block by height: 328000
2016-Oct-05 22:52:44.358310 Skipped block by height: 329000
2016-Oct-05 22:52:44.715118 Skipped block by height: 330000
2016-Oct-05 22:52:44.715397 Skipped block by height: 331000
2016-Oct-05 22:52:44.715463 Skipped block by height: 332000
2016-Oct-05 22:52:44.715528 Skipped block by height: 333000
2016-Oct-05 22:52:44.715629 Skipped block by height: 334000
2016-Oct-05 22:52:44.715717 Skipped block by height: 335000
2016-Oct-05 22:52:44.715780 Skipped block by height: 336000
2016-Oct-05 22:52:44.715843 Skipped block by height: 337000
2016-Oct-05 22:52:44.715906 Skipped block by height: 338000
2016-Oct-05 22:52:44.715970 Skipped block by height: 339000
2016-Oct-05 22:52:45.094162 Skipped block by height: 340000
2016-Oct-05 22:52:45.094420 Skipped block by height: 341000
2016-Oct-05 22:52:45.094511 Skipped block by height: 342000
2016-Oct-05 22:52:45.094596 Skipped block by height: 343000
2016-Oct-05 22:52:45.094684 Skipped block by height: 344000
2016-Oct-05 22:52:45.094769 Skipped block by height: 345000
2016-Oct-05 22:52:45.094854 Skipped block by height: 346000
2016-Oct-05 22:52:45.094937 Skipped block by height: 347000
2016-Oct-05 22:52:45.095020 Skipped block by height: 348000
2016-Oct-05 22:52:45.095101 Skipped block by height: 349000
2016-Oct-05 22:52:45.552312 Skipped block by height: 350000
2016-Oct-05 22:52:45.552673 Skipped block by height: 351000
2016-Oct-05 22:52:45.552753 Skipped block by height: 352000
